,Country,Sector,Industry,Length_of_Business_Summary,Currency
DLX,United States,Communication Services,Advertising Agencies,1316,USD
RYAN,United States,Financial Services,Insurance—Specialty,552,USD
MDP,,,,0,
IVTY,,,,0,
APRI,,,,0,
NGM,,,,0,
SWCH,,,,0,
MATR,,,,0,
JFIN,China,Communication Services,Internet Content & Information,606,USD
ALGN,United States,Healthcare,Medical Devices,1987,USD
EFC,United States,Real Estate,REIT—Mortgage,1228,USD
BV,United States,Industrials,Specialty Business Services,1419,USD
AZTA,United States,Healthcare,Medical Instruments & Supplies,1665,USD
DK,United States,Energy,Oil & Gas Refining & Marketing,1822,USD
MOBL,,,,0,
CODI,United States,Industrials,Conglomerates,1225,USD
RMO,,,,0,
ECYT,,,,0,
AVBP,United States,Healthcare,Biotechnology,1223,USD
PPL,United States,Utilities,Utilities—Regulated Electric,560,USD
HAYN,United States,Industrials,Metal Fabrication,1170,USD
BOOT,United States,Consumer Cyclical,Apparel Retail,1027,USD
WEJO,,,,0,
HBAN,United States,Financial Services,Banks—Regional,1983,USD
TPL,United States,Energy,Oil & Gas E&P,1280,USD
CXO,,,,0,
ATIP,United States,Healthcare,Medical Care Facilities,1147,USD
HASI,United States,Real Estate,Real Estate Services,1333,USD
STAG,United States,Real Estate,REIT—Industrial,2733,USD
GDYN,United States,Technology,Information Technology Services,1222,USD
CXM,United States,Technology,Software—Application,1218,USD
FLKS,,,,0,
OI,United States,Consumer Cyclical,Packaging & Containers,723,USD
ABBV,United States,Healthcare,Drug Manufacturers—General,1982,USD
WMIH,,,,0,
SONO,United States,Technology,Consumer Electronics,660,USD
ZEAL,,,,0,
DDC,Hong Kong,Consumer Defensive,Packaged Foods,341,USD
IDXG,United States,Healthcare,Diagnostics & Research,1018,USD
KLAC,United States,Technology,Semiconductor Equipment & Materials,1930,USD
WIFI,,,,0,
MITO,,,,0,
VEEV,United States,Healthcare,Health Information Services,2001,USD
NNN,United States,Real Estate,REIT—Retail,421,USD
VEON,Netherlands,Communication Services,Telecom Services,695,USD
MERC,Canada,Basic Materials,Paper & Paper Products,1342,USD
ASTH,United States,Healthcare,Medical Care Facilities,1175,USD
KLR,,,,0,
GFF,United States,Industrials,Conglomerates,1982,USD
ATRA,United States,Healthcare,Biotechnology,990,USD
OKE,United States,Energy,Oil & Gas Midstream,1974,USD
SEMG,,,,0,
OKTA,United States,Technology,Software—Infrastructure,1929,USD
VXRT,United States,Healthcare,Biotechnology,884,USD
USER,,,,0,
OPK,United States,Healthcare,Diagnostics & Research,1993,USD
AG,Canada,Basic Materials,Silver,741,USD
KNL,,,,0,
BRDG,United States,Financial Services,Asset Management,345,USD
MCHP,United States,Technology,Semiconductors,1990,USD
APOP,,,,0,
FLIR,,,,0,
CMP,United States,Basic Materials,Other Industrial Metals & Mining,1614,USD
TRUP,United States,Financial Services,Insurance—Specialty,503,USD
TNL,United States,Consumer Cyclical,Travel Services,948,USD
FLMN,,,,0,
FCCY,,,,0,
GEF,United States,Consumer Cyclical,Packaging & Containers,1819,USD
F,United States,Consumer Cyclical,Auto Manufacturers,1165,USD
CVS,United States,Healthcare,Healthcare Plans,1764,USD
LMNX,,,,0,
BLPH,United States,Healthcare,Biotechnology,1101,USD
FBRT,United States,Real Estate,REIT—Mortgage,923,USD
ASB,United States,Financial Services,Banks—Regional,1631,USD
RNGR,United States,Energy,Oil & Gas Equipment & Services,1789,USD
TDG,United States,Industrials,Aerospace & Defense,1976,USD
EPAC,United States,Industrials,Specialty Industrial Machinery,1337,USD
HLIO,United States,Industrials,Specialty Industrial Machinery,1694,USD
COWN,,,,0,
STNE,Cayman Islands,Technology,Software—Infrastructure,606,USD
DOUG,United States,Real Estate,Real Estate Services,554,USD
HST,United States,Real Estate,REIT—Hotel & Motel,748,USD
TMX,,,,0,
SIGA,United States,Healthcare,Drug Manufacturers—Specialty & Generic,348,USD
HIG,United States,Financial Services,Insurance—Property & Casualty,1975,USD
EXPD,United States,Industrials,Integrated Freight & Logistics,1316,USD
VCYT,United States,Healthcare,Diagnostics & Research,799,USD
APO,United States,Financial Services,Asset Management,2515,USD
XYF,China,Financial Services,Credit Services,849,USD
KSS,United States,Consumer Cyclical,Department Stores,497,USD
DIBS,United States,Consumer Cyclical,Internet Retail,336,USD
BDTX,United States,Healthcare,Biotechnology,1067,USD
EPRT,United States,Real Estate,REIT—Diversified,793,USD
SCSC,United States,Technology,Electronics & Computer Distribution,1792,USD
AIG,United States,Financial Services,Insurance—Diversified,1712,USD
KOPN,United States,Technology,Electronic Components,1010,USD
XGTI,,,,0,
CERT,United States,Healthcare,Health Information Services,1817,USD
GXP,,,,0,
SNH,,,,0,
NEGG,United States,Consumer Cyclical,Internet Retail,1407,USD
MODV,United States,Healthcare,Medical Care Facilities,1738,USD
RANI,United States,Healthcare,Biotechnology,1002,USD
BBU,Bermuda,Industrials,Conglomerates,489,USD
ERIC,Sweden,Technology,Communication Equipment,1790,USD
FTEK,United States,Industrials,Pollution & Treatment Controls,1527,USD
AREN,United States,Communication Services,Internet Content & Information,1474,USD
LMNR,United States,Consumer Defensive,Farm Products,1506,USD
FOE,,,,0,
GME,United States,Consumer Cyclical,Specialty Retail,1115,USD
DBRG,United States,Real Estate,Real Estate Services,417,USD
ARLO,United States,Industrials,Building Products & Equipment,1978,USD
RAIN,,,,0,
STKL,United States,Consumer Defensive,Packaged Foods,1552,USD
STKH,Israel,Consumer Defensive,Packaged Foods,770,USD
ALNT,United States,Technology,Electronic Components,1171,USD
CKPT,United States,Healthcare,Biotechnology,1406,USD
ABC,,,,0,
EXR,United States,Real Estate,REIT—Industrial,703,USD
HMPT,,,,0,
DLA,United States,Consumer Cyclical,Apparel Manufacturing,1280,USD
INBS,United States,Healthcare,Medical Devices,909,USD
NRE,,,,0,
WBC,,,,0,
INTU,United States,Technology,Software—Application,1940,USD
MYNZ,Germany,Healthcare,Diagnostics & Research,370,USD
LABP,United States,Healthcare,Biotechnology,1187,USD
VLTA,,,,0,
LMOS,,,,0,
SYF,United States,Financial Services,Credit Services,1573,USD
NET,United States,Technology,Software—Infrastructure,1994,USD
JG,China,Technology,Software—Infrastructure,1625,USD
PCTI,,,,0,
WT,United States,Financial Services,Asset Management,565,USD
MESO,Australia,Healthcare,Biotechnology,1444,USD
BHLB,United States,Financial Services,Banks—Regional,1124,USD
ASRT,United States,Healthcare,Drug Manufacturers—Specialty & Generic,1547,USD
PODC,United States,Communication Services,Internet Content & Information,657,USD
EGY,United States,Energy,Oil & Gas E&P,1101,USD
CVX,United States,Energy,Oil & Gas Integrated,1148,USD
LDI,United States,Financial Services,Mortgage Finance,591,USD
KRG,United States,Real Estate,REIT—Retail,1013,USD
AVHI,United States,Financial Services,Shell Companies,417,USD
WAL,United States,Financial Services,Banks—Regional,1812,USD
PDLB,United States,Financial Services,Banks—Regional,1043,USD
QTM,,,,0,
VLCN,United States,Consumer Cyclical,Auto Manufacturers,634,USD
PGC,United States,Financial Services,Banks—Regional,1908,USD
ARGO,,,,0,
RPID,United States,Healthcare,Medical Devices,1384,USD
OCFC,United States,Financial Services,Banks—Regional,1105,USD
MPX,United States,Consumer Cyclical,Recreational Vehicles,761,USD
COST,United States,Consumer Defensive,Discount Stores,1278,USD
USFD,United States,Consumer Defensive,Food Distribution,691,USD
CPAH,,,,0,
CPS,United States,Consumer Cyclical,Auto Parts,1517,USD
PRT,United States,Energy,Oil & Gas E&P,266,USD
DKS,United States,Consumer Cyclical,Specialty Retail,936,USD
GRC,United States,Industrials,Specialty Industrial Machinery,857,USD
IMTX,Germany,Healthcare,Biotechnology,1291,USD
GEMP,,,,0,
GWGH,,,,0,
TRTN,,,,0,
ITW,United States,Industrials,Specialty Industrial Machinery,1973,USD
CECO,United States,Industrials,Pollution & Treatment Controls,1933,USD
CPN,,,,0,
UEIC,United States,Technology,Consumer Electronics,1975,USD
ALAR,Israel,Technology,Software—Infrastructure,1737,USD
IDTI,,,,0,
DKNG,United States,Consumer Cyclical,Gambling,660,USD
ALRM,United States,Technology,Software—Application,2038,USD
ILG,,,,0,
FSP,United States,Real Estate,REIT—Office,492,USD
MOG.A,,,,0,
ELGX,,,,0,
PRAN,,,,0,
LIVE,United States,Consumer Cyclical,Home Improvement Retail,1777,USD
TFII,Canada,Industrials,Trucking,1175,USD
VRNA,United Kingdom,Healthcare,Biotechnology,757,USD
QVCA,,,,0,
CSTE,Israel,Industrials,Building Products & Equipment,1398,USD
SCON,,,,0,
RVLT,,,,0,
BODI,United States,Communication Services,Internet Content & Information,923,USD
SLN,United Kingdom,Healthcare,Biotechnology,1494,USD
GDOT,United States,Financial Services,Credit Services,1294,USD
ACHL,United Kingdom,Healthcare,Biotechnology,791,USD
BOLD,United States,Healthcare,Biotechnology,843,USD
WPRT,Canada,Consumer Cyclical,Auto Parts,1505,USD
HHH,United States,Real Estate,Real Estate—Diversified,1129,USD
ICON,,,,0,
TIVC,United States,Healthcare,Medical Devices,561,USD
SSNC,United States,Technology,Software—Application,1951,USD
EDR,United States,Communication Services,Entertainment,1993,USD
SEAC,United States,Technology,Software—Application,2042,USD
AVLR,,,,0,
RBB,United States,Financial Services,Banks—Regional,1326,USD
UBER,United States,Technology,Software—Application,1365,USD
CDW,United States,Technology,Information Technology Services,1318,USD
BSRR,United States,Financial Services,Banks—Regional,763,USD
RENX,,,,0,
ONTX,,,,0,
CAL,United States,Consumer Cyclical,Apparel Retail,1816,USD
CIG,Brazil,Utilities,Utilities—Diversified,950,USD
NDRO,,,,0,
AMYT,,,,0,USD
CANF,Israel,Healthcare,Biotechnology,1316,USD
NYCB,United States,Financial Services,Banks—Regional,1245,USD
DOCS,United States,Healthcare,Health Information Services,786,USD
GTS,,,,0,
FNSR,,,,0,
ARTA,,,,0,
TPC,United States,Industrials,Engineering & Construction,1879,USD
BBT,,,,0,
DUOL,United States,Technology,Software—Application,446,USD
NCS,,,,0,
GABC,United States,Financial Services,Banks—Regional,1190,USD
APA,United States,Energy,Oil & Gas E&P,438,USD
CRXT,,,,0,
SKIN,United States,Consumer Defensive,Household & Personal Products,889,USD
LCI,,,,0,
CR,United States,Industrials,Specialty Industrial Machinery,1910,USD
TMK,,,,0,
CLR,,,,0,
BIVV,,,,0,
LMNL,,,,0,
TROW,United States,Financial Services,Asset Management,1444,USD
ACXM,,,,0,
DORM,United States,Consumer Cyclical,Auto Parts,2054,USD
ALK,United States,Industrials,Airlines,523,USD
ATLX,Brazil,Basic Materials,Other Precious Metals & Mining,939,USD
RACE,Italy,Consumer Cyclical,Auto Manufacturers,1083,USD
GOCO,United States,Financial Services,Insurance Brokers,711,USD
BIVI,United States,Healthcare,Biotechnology,824,USD
GLBL,,,,0,
CTLP,United States,Technology,Information Technology Services,1543,USD
KWE,Canada,Industrials,Aerospace & Defense,349,USD
SNR,,,,0,
WELL,United States,Real Estate,REIT—Healthcare Facilities,628,USD
LUMN,United States,Communication Services,Telecom Services,1290,USD
SERV,United States,Industrials,Specialty Industrial Machinery,388,USD
NBN,United States,Financial Services,Banks—Regional,1004,USD
FINL,,,,0,
NTRS,United States,Financial Services,Asset Management,1925,USD
SWI,United States,Technology,Software—Infrastructure,1849,USD
LOTZ,,,,0,
WBT,,,,0,
XAIR,United States,Healthcare,Medical Devices,1156,USD
AUD,,,,0,
HLBZ,,,,0,
CHRA,,,,0,
PINC,United States,Healthcare,Health Information Services,1546,USD
KD,United States,Technology,Information Technology Services,525,USD
DGLY,United States,Communication Services,Internet Content & Information,1948,USD
LDTC,Canada,Technology,Software—Application,357,USD
WISH,United States,Consumer Cyclical,Internet Retail,365,USD
CAH,United States,Healthcare,Medical Distribution,1746,USD
CLPR,United States,Real Estate,REIT—Residential,769,USD
ESL,,,,0,
KVUE,United States,Consumer Defensive,Household & Personal Products,895,USD
MOXC,,,,0,
VET,Canada,Energy,Oil & Gas E&P,485,USD
TYRA,United States,Healthcare,Biotechnology,965,USD
WULF,United States,Financial Services,Capital Markets,374,USD
FWBI,United States,Healthcare,Biotechnology,1082,USD
NU,Brazil,Financial Services,Banks—Regional,1901,USD
LPLA,United States,Financial Services,Capital Markets,1476,USD
EAT,United States,Consumer Cyclical,Restaurants,437,USD
SONM,United States,Technology,Communication Equipment,832,USD
SSW,,,,0,
DS,,,,0,
EBSB,,,,0,
AST,,,,0,
CMCL,Jersey,Basic Materials,Gold,785,USD
SESN,,,,0,
BZ,China,Communication Services,Internet Content & Information,511,USD
CRTX,,,,0,
TWKS,United States,Technology,Information Technology Services,1650,USD
RWAY,United States,Financial Services,Credit Services,821,USD
ABSI,United States,Healthcare,Biotechnology,531,USD
CELZ,United States,Healthcare,Biotechnology,1018,USD
OVID,United States,Healthcare,Biotechnology,1404,USD
ESNC,United States,Industrials,Specialty Industrial Machinery,1093,USD
JUNO,,,,0,
NUVA,,,,0,
NGMS,,,,0,
CIVB,United States,Financial Services,Banks—Regional,787,USD
RNA,United States,Healthcare,Biotechnology,833,USD
HGBL,United States,Financial Services,Capital Markets,889,USD
FWRD,United States,Industrials,Integrated Freight & Logistics,1036,USD
GHDX,,,,0,
YELP,United States,Communication Services,Internet Content & Information,1909,USD
VKTX,United States,Healthcare,Biotechnology,1042,USD
CPLG,,,,0,
PRTG,British Virgin Islands,Healthcare,Biotechnology,935,USD
NR,United States,Energy,Oil & Gas Equipment & Services,1097,USD
TKO,United States,Communication Services,Entertainment,808,USD
MDB,United States,Technology,Software—Infrastructure,734,USD
BLCT,,,,0,
SNA,United States,Industrials,Tools & Accessories,1962,USD
KC,China,Technology,Software—Application,946,USD
LZ,United States,Industrials,Specialty Business Services,1157,USD
QCRH,United States,Financial Services,Banks—Regional,1130,USD
WEB,,,,0,
QTT,,,,0,
ALQA,,,,0,
CGG,,,,0,
OSS,United States,Technology,Computer Hardware,1179,USD
FRGE,United States,Technology,Software—Application,654,USD
VOYA,United States,Financial Services,Financial Conglomerates,1901,USD
HZNP,,,,0,USD
TD,Canada,Financial Services,Banks—Diversified,1537,USD
ENZ,United States,Healthcare,Diagnostics & Research,1518,USD
BAM,Canada,Financial Services,Asset Management,875,USD
CSOD,,,,0,
QUIK,United States,Technology,Semiconductors,1414,USD
OXFD,,,,0,
ENTX,Israel,Healthcare,Biotechnology,1255,USD
STB,,,,0,
TRNR,United States,Consumer Cyclical,Personal Services,605,USD
BE,United States,Industrials,Electrical Equipment & Parts,778,USD
SHC,United States,Healthcare,Diagnostics & Research,1024,USD
JELD,United States,Industrials,Building Products & Equipment,1192,USD
OUST,United States,Technology,Electronic Components,693,USD
SLF,Canada,Financial Services,Insurance—Diversified,1321,USD
NMM,Monaco,Industrials,Marine Shipping,468,USD
CSII,,,,0,
ACLS,United States,Technology,Semiconductor Equipment & Materials,672,USD
EHIC,,,,0,
ZM,United States,Technology,Software—Application,1872,USD
YIN,,,,0,
BMA,Argentina,Financial Services,Banks—Regional,1560,USD
BPOP,United States,Financial Services,Banks—Regional,948,USD
CRSP,Switzerland,Healthcare,Biotechnology,1511,USD
GRAY,,,,0,
PCOM,,,,0,
JACK,United States,Consumer Cyclical,Restaurants,200,USD
RL,United States,Consumer Cyclical,Apparel Manufacturing,1945,USD
CZNC,United States,Financial Services,Banks—Regional,1057,USD
TLYS,United States,Consumer Cyclical,Apparel Retail,678,USD
ULH,United States,Industrials,Trucking,1322,USD
MN,,,,0,
RGLD,United States,Basic Materials,Gold,673,USD
KN,United States,Technology,Communication Equipment,1339,USD
OBNK,,,,0,
OLN,United States,Basic Materials,Specialty Chemicals,1587,USD
GDDY,United States,Technology,Software—Infrastructure,1948,USD
KITT,United States,Industrials,Aerospace & Defense,652,USD
FNB,United States,Financial Services,Banks—Regional,1351,USD
MDLY,,,,0,
CDR,,,,0,
IMOS,Taiwan,Technology,Semiconductors,1065,USD
SKM,South Korea,Communication Services,Telecom Services,1423,USD
LENZ,United States,Healthcare,Biotechnology,319,USD
PROP,United States,Financial Services,Capital Markets,333,USD
FNGN,,,,0,
PACW,,,,0,
VEL,United States,Financial Services,Mortgage Finance,1208,USD
ZWS,United States,Industrials,Pollution & Treatment Controls,1820,USD
BFS,United States,Real Estate,REIT—Retail,521,USD
BTM,United States,Financial Services,Capital Markets,518,USD
QMCO,United States,Technology,Computer Hardware,1751,USD
AGFS,,,,0,
DOCU,United States,Technology,Software—Application,1584,USD
PTC,United States,Technology,Software—Application,1998,USD
BUD,Belgium,Consumer Defensive,Beverages—Brewers,617,USD
AVP,,,,0,
VIPS,China,Consumer Cyclical,Internet Retail,853,USD
RLGT,United States,Industrials,Integrated Freight & Logistics,1080,USD
H,United States,Consumer Cyclical,Lodging,1770,USD
STT,United States,Financial Services,Asset Management,1816,USD
INT,,,,0,
ICUI,United States,Healthcare,Medical Instruments & Supplies,1996,USD
CINF,United States,Financial Services,Insurance—Property & Casualty,1931,USD
SAMG,United States,Financial Services,Asset Management,437,USD
IPCC,,,,0,
HBCP,United States,Financial Services,Banks—Regional,786,USD
CPNG,United States,Consumer Cyclical,Internet Retail,937,USD
DISH,,,,0,
SB,Monaco,Industrials,Marine Shipping,523,USD
MLKN,United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1469,USD
TK,Bermuda,Energy,Oil & Gas Midstream,708,USD
DNLI,United States,Healthcare,Biotechnology,1811,USD
